job_number,canonical_stage,declared_stage,rendered_column,ses_family,expected_family_label,rendered_family_tag,family_agrees,detail_stage,detail_stage_source,detail_contradicts_column,legacy_detail_stage,legacy_contradicts_column,canonical_pack_drafted,no_pack_chip,card_builder_links,card_anchors,trade_chip
SWMS-261121,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,3,3,New
SWMS-261120,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,3,3,New
SWMS-261119,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,3,3,New
SWMS-261115,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,3,3,New
SWMS-261110,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,3,3,New
SWMS-261103,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,3,3,New
SWMS-261102,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261101,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261100,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261096,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261085,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261083,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261082,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261058,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261057,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,1,1,New
SWMS-261056,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261033,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261032,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261031,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261030,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261023,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-261016,new,new,new,ordinary_roof_portal,Roof Report,Roof Report,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26936,new,new,new,restoration,Restoration,Restoration,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26935,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26932,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26931,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26843,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26833,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26827,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
